weekday	month	year	hour	season	holiday	workingday	weather	temp	atemp	humidity	windspeed	casual	registered
Monday	January	11	23	1	0	1	1	7.38	10.605	55	7.0015	1	11
Tuesday	January	11	0	1	0	1	1	6.56	9.09	55	7.0015	0	5
Tuesday	January	11	1	1	0	1	1	6.56	9.09	59	7.0015	0	2
Tuesday	January	11	2	1	0	1	1	5.74	7.575	63	8.9981	0	1
Tuesday	January	11	4	1	0	1	1	5.74	9.09	63	6.0032	0	2
Tuesday	January	11	5	1	0	1	1	4.92	7.575	68	7.0015	0	4
Tuesday	January	11	6	1	0	1	1	4.92	7.575	74	7.0015	0	36
Tuesday	January	11	7	1	0	1	1	4.92	7.575	74	8.9981	2	92
Tuesday	January	11	8	1	0	1	1	5.74	7.575	69	11.0014	2	177
Tuesday	January	11	9	1	0	1	1	6.56	7.575	64	15.0013	2	98
Tuesday	January	11	10	1	0	1	2	6.56	6.82	69	22.0028	5	37
Tuesday	January	11	11	1	0	1	1	9.02	10.605	51	19.9995	7	50
Tuesday	January	11	12	1	0	1	1	9.02	11.365	51	11.0014	12	66
Tuesday	January	11	13	1	0	1	1	9.84	11.365	56	12.998	18	79
Tuesday	January	11	14	1	0	1	1	10.66	12.88	52	15.0013	9	54
Tuesday	January	11	15	1	0	1	1	11.48	13.635	52	16.9979	17	48
Tuesday	January	11	16	1	0	1	1	12.3	14.395	49	16.9979	15	68
Tuesday	January	11	17	1	0	1	1	11.48	13.635	48	15.0013	10	202
Tuesday	January	11	18	1	0	1	1	10.66	12.88	48	12.998	3	179
Tuesday	January	11	19	1	0	1	1	9.84	12.88	48	7.0015	2	110
Tuesday	January	11	20	1	0	1	1	9.84	12.88	48	7.0015	1	53
Tuesday	January	11	21	1	0	1	1	9.02	13.635	64	0	0	48
Tuesday	January	11	22	1	0	1	1	9.02	12.88	64	6.0032	1	34
Tuesday	January	11	23	1	0	1	1	8.2	11.365	69	6.0032	2	9
Wednesday	January	11	0	1	0	1	1	8.2	12.88	64	0	0	6
Wednesday	January	11	1	1	0	1	1	6.56	9.85	74	6.0032	0	6
Wednesday	January	11	2	1	0	1	1	6.56	9.85	74	6.0032	0	2
Wednesday	January	11	4	1	0	1	1	9.84	11.365	48	15.0013	0	2
Wednesday	January	11	5	1	0	1	1	9.02	11.365	47	11.0014	0	3
Wednesday	January	11	6	1	0	1	1	8.2	9.85	47	15.0013	0	33
Wednesday	January	11	7	1	0	1	1	7.38	9.09	43	12.998	1	87
Wednesday	January	11	8	1	0	1	1	8.2	9.09	40	19.9995	3	192
Wednesday	January	11	9	1	0	1	1	9.02	9.85	37	22.0028	6	109
Wednesday	January	11	10	1	0	1	1	9.02	9.85	37	22.0028	4	53
Wednesday	January	11	11	1	0	1	1	10.66	11.365	33	22.0028	12	34
Wednesday	January	11	12	1	0	1	1	10.66	11.365	33	22.0028	5	74
Wednesday	January	11	13	1	0	1	1	11.48	12.88	30	19.9995	6	65
Wednesday	January	11	14	1	0	1	1	12.3	14.395	28	12.998	10	52
Wednesday	January	11	15	1	0	1	1	12.3	14.395	28	12.998	7	55
Wednesday	January	11	16	1	0	1	1	12.3	15.91	28	6.0032	4	85
Wednesday	January	11	17	1	0	1	1	9.84	11.365	38	12.998	4	186
Wednesday	January	11	18	1	0	1	1	9.84	12.12	38	8.9981	3	166
Wednesday	January	11	19	1	0	1	1	9.84	12.88	38	7.0015	5	127
Wednesday	January	11	20	1	0	1	1	9.02	11.365	47	11.0014	7	82
Wednesday	January	11	21	1	0	1	1	8.2	9.85	51	12.998	3	40
Wednesday	January	11	22	1	0	1	1	7.38	9.85	55	8.9981	1	41
Wednesday	January	11	23	1	0	1	1	8.2	12.88	47	0	1	18
Thursday	January	11	0	1	0	1	1	7.38	12.12	55	0	0	11
Thursday	January	11	1	1	0	1	1	6.56	11.365	64	0	0	4
Thursday	January	11	2	1	0	1	1	6.56	11.365	64	0	0	2
Thursday	January	11	4	1	0	1	2	6.56	9.85	64	6.0032	0	1
Thursday	January	11	5	1	0	1	2	5.74	9.09	69	6.0032	0	4
Thursday	January	11	6	1	0	1	2	5.74	8.335	63	7.0015	0	36
Thursday	January	11	7	1	0	1	2	6.56	11.365	59	0	0	95
Thursday	January	11	8	1	0	1	1	6.56	11.365	59	0	3	216
Thursday	January	11	9	1	0	1	2	7.38	12.12	51	0	6	116
Thursday	January	11	10	1	0	1	1	8.2	12.88	47	0	3	42
Thursday	January	11	11	1	0	1	1	9.02	12.88	44	6.0032	2	57
Thursday	January	11	12	1	0	1	1	10.66	14.395	35	0	6	78
Thursday	January	11	13	1	0	1	1	10.66	13.635	35	7.0015	12	55
Thursday	January	11	14	1	0	1	1	11.48	13.635	36	11.0014	11	59
Thursday	January	11	15	1	0	1	1	11.48	13.635	36	0	8	54
Thursday	January	11	16	1	0	1	1	10.66	12.88	38	11.0014	12	74
Thursday	January	11	17	1	0	1	1	9.02	11.365	51	11.0014	9	163
Thursday	January	11	18	1	0	1	1	9.02	11.365	51	8.9981	5	158
Thursday	January	11	19	1	0	1	1	9.02	12.88	55	6.0032	3	109
Thursday	January	11	20	1	0	1	1	8.2	10.605	51	11.0014	3	66
Thursday	January	11	21	1	0	1	2	9.02	10.605	55	15.0013	0	48
Thursday	January	11	22	1	0	1	2	9.02	10.605	51	19.0012	1	51
Thursday	January	11	23	1	0	1	2	8.2	9.85	59	12.998	4	19
Friday	January	11	0	1	0	1	2	8.2	9.85	64	12.998	4	13
Friday	January	11	1	1	0	1	2	8.2	9.85	69	15.0013	2	5
Friday	January	11	2	1	0	1	2	8.2	9.85	69	15.0013	0	1
Friday	January	11	4	1	0	1	2	8.2	10.605	69	8.9981	0	1
Friday	January	11	5	1	0	1	3	9.02	13.635	55	0	0	5
Friday	January	11	6	1	0	1	2	8.2	12.88	69	0	8	26
Friday	January	11	7	1	0	1	1	8.2	10.605	69	8.9981	8	76
Friday	January	11	8	1	0	1	1	8.2	9.85	51	16.9979	20	190
Friday	January	11	9	1	0	1	1	8.2	9.09	47	19.9995	9	125
Friday	January	11	10	1	0	1	1	9.02	9.85	37	22.0028	16	47
Friday	January	11	11	1	0	1	2	8.2	9.85	40	15.0013	19	48
Friday	January	11	12	1	0	1	2	8.2	9.85	37	16.9979	9	50
Friday	January	11	13	1	0	1	2	8.2	9.09	37	19.0012	9	64
Friday	January	11	14	1	0	1	2	8.2	9.85	40	16.9979	7	43
Friday	January	11	15	1	0	1	2	8.2	10.605	37	11.0014	9	63
Friday	January	11	16	1	0	1	2	8.2	10.605	37	11.0014	5	82
Friday	January	11	17	1	0	1	2	8.2	12.88	37	0	9	178
Friday	January	11	18	1	0	1	1	8.2	11.365	40	6.0032	7	116
Friday	January	11	19	1	0	1	1	6.56	9.85	55	6.0032	3	92
Friday	January	11	20	1	0	1	1	7.38	10.605	47	7.0015	1	50
Friday	January	11	21	1	0	1	1	7.38	9.85	47	8.9981	0	39
Friday	January	11	22	1	0	1	2	7.38	9.85	43	11.0014	2	34
Friday	January	11	23	1	0	1	2	7.38	9.85	51	11.0014	1	14
Saturday	January	11	0	1	0	0	2	7.38	9.85	51	11.0014	1	24
Saturday	January	11	1	1	0	0	2	7.38	10.605	55	6.0032	1	15
Saturday	January	11	2	1	0	0	2	7.38	12.12	55	0	3	13
Saturday	January	11	3	1	0	0	3	7.38	9.85	55	11.0014	0	7
Saturday	January	11	4	1	0	0	3	7.38	9.85	55	11.0014	0	1
Saturday	January	11	5	1	0	0	2	6.56	8.335	74	11.0014	0	5
Saturday	January	11	6	1	0	0	2	6.56	8.335	74	11.0014	0	2
Saturday	January	11	7	1	0	0	2	6.56	9.09	74	7.0015	1	8
Saturday	January	11	8	1	0	0	3	6.56	9.09	93	7.0015	0	15
Saturday	January	11	9	1	0	0	3	6.56	9.09	93	7.0015	0	20
Saturday	January	11	10	1	0	0	2	7.38	9.85	80	11.0014	5	56
Saturday	January	11	11	1	0	0	2	8.2	9.09	69	26.0027	2	60
Saturday	January	11	12	1	0	0	2	8.2	9.09	59	23.9994	8	90
Saturday	January	11	13	1	0	0	1	8.2	9.09	44	22.0028	7	95
Saturday	January	11	14	1	0	0	1	8.2	8.335	32	32.9975	12	83
Saturday	January	11	15	1	0	0	1	8.2	8.335	32	30.0026	5	69
Saturday	January	11	16	1	0	0	1	7.38	6.82	29	30.0026	8	68
Saturday	January	11	17	1	0	0	1	6.56	6.06	37	36.9974	5	64
Saturday	January	11	18	1	0	0	1	5.74	6.06	39	19.9995	3	52
Saturday	January	11	19	1	0	0	1	5.74	6.06	36	16.9979	4	26
Saturday	January	11	20	1	0	0	1	4.92	6.06	36	16.9979	0	28
Saturday	January	11	21	1	0	0	1	4.92	5.305	39	23.9994	2	35
Saturday	January	11	22	1	0	0	1	4.92	5.305	36	26.0027	1	33
Saturday	January	11	23	1	0	0	1	4.1	3.03	39	30.0026	0	22
Sunday	January	11	0	1	0	0	1	4.1	3.79	42	26.0027	1	24
Sunday	January	11	1	1	0	0	1	4.1	3.03	42	31.0009	0	12
Sunday	January	11	2	1	0	0	1	4.1	3.03	46	31.0009	0	11
Sunday	January	11	3	1	0	0	1	4.1	3.79	46	27.9993	0	4
Sunday	January	11	4	1	0	0	1	3.28	4.545	53	12.998	0	1
Sunday	January	11	5	1	0	0	1	3.28	4.545	53	12.998	0	1
Sunday	January	11	6	1	0	0	1	4.1	4.545	49	19.0012	0	1
Sunday	January	11	7	1	0	0	1	3.28	4.545	53	12.998	1	5
Sunday	January	11	8	1	0	0	1	4.1	4.545	49	19.0012	0	10
Sunday	January	11	9	1	0	0	1	4.92	3.79	46	35.0008	0	19
Sunday	January	11	10	1	0	0	1	5.74	5.305	43	26.0027	0	49
Sunday	January	11	11	1	0	0	1	6.56	6.06	40	35.0008	2	47
Sunday	January	11	12	1	0	0	1	7.38	6.82	37	30.0026	4	79
Sunday	January	11	13	1	0	0	1	8.2	8.335	34	30.0026	6	69
Sunday	January	11	14	1	0	0	1	9.02	9.09	32	31.0009	8	64
Sunday	January	11	15	1	0	0	1	9.02	9.85	35	23.9994	5	77
Sunday	January	11	16	1	0	0	1	8.2	8.335	34	30.0026	13	79
Sunday	January	11	17	1	0	0	1	7.38	7.575	37	26.0027	3	59
Sunday	January	11	18	1	0	0	1	6.56	6.82	40	22.0028	4	44
Sunday	January	11	19	1	0	0	1	6.56	6.82	43	22.0028	1	40
Sunday	January	11	20	1	0	0	1	5.74	6.06	46	16.9979	0	38
Sunday	January	11	21	1	0	0	1	5.74	5.305	46	27.9993	1	19
Sunday	January	11	22	1	0	0	1	5.74	6.06	46	19.9995	5	10
Sunday	January	11	23	1	0	0	1	4.92	6.82	50	12.998	0	6
Monday	January	11	0	1	0	1	1	4.92	6.06	50	19.0012	2	3
Monday	January	11	1	1	0	1	1	4.92	6.06	50	19.0012	1	0
Monday	January	11	2	1	0	1	1	4.92	6.06	50	15.0013	0	3
Monday	January	11	3	1	0	1	1	4.92	6.06	50	15.0013	0	1
Monday	January	11	4	1	0	1	1	4.1	6.06	54	8.9981	1	2
Monday	January	11	5	1	0	1	1	4.1	5.305	54	16.9979	0	3
Monday	January	11	6	1	0	1	1	4.92	6.06	50	19.0012	0	31
Monday	January	11	7	1	0	1	1	4.92	6.06	50	15.0013	2	75
Monday	January	11	8	1	0	1	2	4.92	6.06	50	19.0012	4	184
Monday	January	11	9	1	0	1	2	5.74	6.06	50	16.9979	2	92
Monday	January	11	10	1	0	1	2	5.74	6.06	50	19.9995	0	31
Monday	January	11	11	1	0	1	2	6.56	6.82	47	19.0012	2	28
Monday	January	11	12	1	0	1	2	8.2	9.09	40	19.0012	5	47
Monday	January	11	13	1	0	1	2	8.2	9.09	40	19.0012	4	50
Monday	January	11	14	1	0	1	2	8.2	9.85	40	15.0013	0	47
Monday	January	11	15	1	0	1	2	8.2	9.85	40	15.0013	2	43
Monday	January	11	16	1	0	1	1	8.2	10.605	40	8.9981	4	70
Monday	January	11	17	1	0	1	1	8.2	11.365	40	7.0015	4	174
Monday	January	11	18	1	0	1	1	8.2	9.85	40	15.0013	1	154
Monday	January	11	19	1	0	1	1	6.56	8.335	47	11.0014	3	92
Monday	January	11	20	1	0	1	1	6.56	8.335	50	11.0014	1	73
Monday	January	11	21	1	0	1	1	5.74	6.82	59	12.998	1	37
Monday	January	11	22	1	0	1	1	5.74	7.575	59	11.0014	2	22
Monday	January	11	23	1	0	1	1	5.74	7.575	59	11.0014	0	18
Tuesday	January	11	0	1	0	1	1	5.74	8.335	59	7.0015	2	10
Tuesday	January	11	1	1	0	1	1	5.74	7.575	59	11.0014	0	3
Tuesday	January	11	2	1	0	1	2	6.56	7.575	55	12.998	0	3
Tuesday	January	11	5	1	0	1	2	6.56	9.09	55	8.9981	0	6
Tuesday	January	11	6	1	0	1	2	6.56	9.09	55	8.9981	0	27
Tuesday	January	11	7	1	0	1	2	6.56	11.365	55	0	2	97
Tuesday	January	11	8	1	0	1	2	7.38	10.605	51	6.0032	3	214
Tuesday	January	11	9	1	0	1	2	7.38	9.85	51	11.0014	3	127
Tuesday	January	11	10	1	0	1	2	8.2	10.605	51	11.0014	3	51
Tuesday	January	11	11	1	0	1	2	8.2	10.605	47	8.9981	4	31
Tuesday	January	11	12	1	0	1	2	8.2	11.365	51	7.0015	2	55
Tuesday	January	11	13	1	0	1	2	8.2	11.365	59	6.0032	6	46
Tuesday	January	11	14	1	0	1	2	8.2	11.365	59	6.0032	3	60
Tuesday	January	11	15	1	0	1	2	6.56	9.85	80	6.0032	2	45
Tuesday	January	11	16	1	0	1	2	6.56	7.575	86	15.0013	4	72
Tuesday	January	11	17	1	0	1	2	6.56	7.575	86	15.0013	6	130
Tuesday	January	11	18	1	0	1	3	6.56	9.09	93	7.0015	1	94
Tuesday	January	11	19	1	0	1	3	6.56	11.365	93	0	0	51
Tuesday	January	11	20	1	0	1	3	6.56	7.575	93	12.998	0	32
Tuesday	January	11	21	1	0	1	3	6.56	9.85	86	6.0032	0	20
Tuesday	January	11	22	1	0	1	3	6.56	9.09	93	7.0015	1	28
Tuesday	January	11	23	1	0	1	3	6.56	9.85	93	6.0032	1	18
Wednesday	January	11	0	1	0	1	2	6.56	9.85	86	6.0032	0	7
Wednesday	January	11	1	1	0	1	2	6.56	9.09	86	7.0015	0	6
Wednesday	January	11	2	1	0	1	1	5.74	7.575	86	8.9981	0	1
Wednesday	January	11	5	1	0	1	1	5.74	7.575	86	11.0014	0	5
Wednesday	January	11	6	1	0	1	1	4.92	7.575	93	8.9981	0	16
Wednesday	January	11	7	1	0	1	1	5.74	7.575	69	8.9981	0	54
Wednesday	January	11	8	1	0	1	1	6.56	8.335	59	11.0014	3	125
Wednesday	January	11	9	1	0	1	1	6.56	6.82	59	22.0028	3	78
Wednesday	January	11	10	1	0	1	1	7.38	9.09	55	15.0013	0	39
Wednesday	January	11	11	1	0	1	1	8.2	9.09	51	26.0027	3	32
Wednesday	January	11	12	1	0	1	1	8.2	7.575	47	39.0007	3	52
Wednesday	January	11	13	1	0	1	1	9.02	9.85	44	23.9994	0	49
Wednesday	January	11	14	1	0	1	1	8.2	9.09	47	22.0028	0	44
Wednesday	January	11	15	1	0	1	1	8.2	8.335	47	27.9993	1	48
Wednesday	January	11	16	1	0	1	1	9.02	9.85	44	22.0028	5	63
Wednesday	January	11	17	1	0	1	1	8.2	9.09	47	23.9994	0	139
Wednesday	January	11	18	1	0	1	1	8.2	7.575	47	35.0008	2	135
Wednesday	January	11	19	1	0	1	1	7.38	7.575	47	27.9993	1	82
Wednesday	January	11	20	1	0	1	1	6.56	6.82	50	22.0028	2	54
Wednesday	January	11	21	1	0	1	1	6.56	6.82	55	22.0028	0	57
Wednesday	January	11	22	1	0	1	1	6.56	6.06	55	30.0026	1	32
Wednesday	January	11	23	1	0	1	1	5.74	5.305	59	27.9993	1	19
Thursday	January	11	0	1	0	1	1	5.74	6.06	59	19.0012	1	6
Thursday	January	11	1	1	0	1	1	5.74	6.06	50	19.0012	0	2
Thursday	January	11	2	1	0	1	1	5.74	6.06	50	23.9994	0	2
Thursday	January	11	3	1	0	1	1	5.74	6.06	50	22.0028	0	3
Thursday	January	11	4	1	0	1	1	5.74	6.06	50	16.9979	0	4
Thursday	January	11	5	1	0	1	1	5.74	6.06	50	19.9995	0	3
Thursday	January	11	6	1	0	1	1	4.92	7.575	54	8.9981	0	28
Thursday	January	11	7	1	0	1	1	4.92	7.575	54	8.9981	0	72
Thursday	January	11	8	1	0	1	1	5.74	6.82	50	12.998	5	197
Thursday	January	11	9	1	0	1	1	5.74	6.06	50	22.0028	2	137
Thursday	January	11	10	1	0	1	2	6.56	6.82	50	23.9994	2	36
Thursday	January	11	11	1	0	1	2	8.2	8.335	44	30.0026	4	33
Thursday	January	11	12	1	0	1	1	8.2	8.335	44	27.9993	3	49
Thursday	January	11	13	1	0	1	1	9.02	9.85	41	30.0026	2	81
Thursday	January	11	14	1	0	1	1	9.02	9.85	41	26.0027	3	39
Thursday	January	11	15	1	0	1	1	9.84	10.605	38	19.9995	5	55
Thursday	January	11	16	1	0	1	1	9.84	10.605	38	23.9994	2	76
Thursday	January	11	17	1	0	1	1	8.2	9.09	40	19.0012	4	158
Thursday	January	11	18	1	0	1	1	8.2	9.09	40	22.0028	3	141
Thursday	January	11	19	1	0	1	1	6.56	7.575	47	16.9979	1	98
Thursday	January	11	20	1	0	1	1	6.56	7.575	47	15.0013	0	64
Thursday	January	11	21	1	0	1	1	5.74	6.06	46	19.9995	0	40
Thursday	January	11	22	1	0	1	1	5.74	6.06	46	22.0028	0	30
Thursday	January	11	23	1	0	1	1	4.92	6.82	50	12.998	1	14
Friday	January	11	0	1	0	1	1	4.92	6.82	50	12.998	0	14
Friday	January	11	1	1	0	1	1	4.1	6.06	54	11.0014	0	5
Friday	January	11	2	1	0	1	1	4.1	6.06	54	8.9981	0	1
Friday	January	11	3	1	0	1	1	4.1	6.82	54	7.0015	0	1
Friday	January	11	5	1	0	1	1	4.1	6.82	54	6.0032	0	8
Friday	January	11	6	1	0	1	1	4.1	9.09	54	0	0	17
Friday	January	11	7	1	0	1	1	4.1	6.06	74	11.0014	0	70
Friday	January	11	8	1	0	1	1	4.92	8.335	68	0	2	156
Friday	January	11	9	1	0	1	1	5.74	7.575	69	8.9981	0	117
Friday	January	11	10	1	0	1	1	7.38	9.09	55	12.998	4	40
Friday	January	11	11	1	0	1	1	7.38	8.335	51	19.0012	6	47
Friday	January	11	12	1	0	1	1	8.2	9.85	44	16.9979	2	59
Friday	January	11	13	1	0	1	1	9.02	9.85	37	26.0027	4	73
Friday	January	11	14	1	0	1	1	9.02	10.605	41	19.0012	5	59
Friday	January	11	15	1	0	1	1	9.84	12.12	38	11.0014	9	59
Friday	January	11	16	1	0	1	1	9.02	12.12	41	7.0015	3	87
Friday	January	11	17	1	0	1	1	9.02	11.365	41	11.0014	4	155
Friday	January	11	18	1	0	1	1	8.2	12.88	47	0	5	134
Friday	January	11	19	1	0	1	1	6.56	9.85	59	6.0032	3	89
Friday	January	11	20	1	0	1	1	7.38	12.12	59	0	0	68
Friday	January	11	21	1	0	1	1	6.56	11.365	69	0	4	48
Friday	January	11	22	1	0	1	2	6.56	11.365	69	0	2	34
Friday	January	11	23	1	0	1	2	7.38	12.12	55	0	1	26
Saturday	January	11	0	1	0	0	1	7.38	12.12	55	0	3	25
Saturday	January	11	1	1	0	0	2	6.56	9.85	59	6.0032	2	18
Saturday	January	11	2	1	0	0	2	6.56	9.85	59	6.0032	0	12
Saturday	January	11	3	1	0	0	2	6.56	11.365	59	0	1	7
Saturday	January	11	4	1	0	0	2	6.56	11.365	59	0	0	5
Saturday	January	11	5	1	0	0	1	6.56	11.365	59	0	0	1
Saturday	January	11	6	1	0	0	1	5.74	8.335	63	7.0015	1	2
Saturday	January	11	7	1	0	0	1	5.74	10.605	63	0	1	9
Saturday	January	11	8	1	0	0	1	5.74	7.575	63	8.9981	1	22
Saturday	January	11	9	1	0	0	1	6.56	9.09	64	8.9981	2	31
Saturday	January	11	10	1	0	0	1	7.38	9.85	59	11.0014	2	57
Saturday	January	11	11	1	0	0	1	8.2	9.85	55	15.0013	18	54
Saturday	January	11	12	1	0	0	1	9.84	11.365	48	15.0013	15	74
Saturday	January	11	13	1	0	0	1	11.48	12.88	38	19.9995	21	80
Saturday	January	11	14	1	0	0	1	12.3	14.395	39	19.0012	26	92
Saturday	January	11	15	1	0	0	2	13.12	15.91	36	12.998	21	108
Saturday	January	11	16	1	0	0	2	13.94	16.665	34	12.998	33	95
Saturday	January	11	17	1	0	0	2	13.12	15.15	36	19.0012	29	54
Saturday	January	11	18	1	0	0	2	12.3	14.395	45	16.9979	15	69
Saturday	January	11	19	1	0	0	2	13.12	15.15	39	16.9979	14	60
Saturday	January	11	20	1	0	0	2	13.12	15.15	39	16.9979	6	35
Saturday	January	11	21	1	0	0	2	13.12	15.15	39	15.0013	6	51
Saturday	January	11	22	1	0	0	2	12.3	15.91	42	7.0015	0	26
Saturday	January	11	23	1	0	0	1	12.3	14.395	45	19.0012	5	39
Sunday	January	11	0	1	0	0	1	10.66	15.15	56	0	6	33
Sunday	January	11	1	1	0	0	1	10.66	13.635	56	8.9981	4	19
Sunday	January	11	2	1	0	0	1	10.66	14.395	56	6.0032	3	13
Sunday	January	11	3	1	0	0	1	9.02	13.635	69	0	9	6
Sunday	January	11	4	1	0	0	1	10.66	12.88	56	11.0014	0	1
Sunday	January	11	5	1	0	0	2	10.66	12.88	56	11.0014	1	1
Sunday	January	11	6	1	0	0	2	10.66	12.88	56	11.0014	0	1
Sunday	January	11	7	1	0	0	2	9.84	10.605	56	19.9995	0	3
Sunday	January	11	8	1	0	0	1	9.02	10.605	55	19.0012	0	18
Sunday	January	11	9	1	0	0	1	9.02	10.605	51	16.9979	3	29
Sunday	January	11	10	1	0	0	1	9.02	10.605	51	19.0012	8	71
Sunday	January	11	11	1	0	0	1	9.84	11.365	44	16.9979	23	70
Sunday	January	11	12	1	0	0	1	9.84	10.605	41	19.0012	29	75
Sunday	January	11	13	1	0	0	1	10.66	11.365	35	19.9995	23	95
Sunday	January	11	14	1	0	0	1	11.48	13.635	36	16.9979	22	69
Sunday	January	11	15	1	0	0	1	10.66	12.12	38	16.9979	35	78
Sunday	January	11	16	1	0	0	1	9.84	11.365	38	15.0013	22	77
Sunday	January	11	17	1	0	0	1	9.02	10.605	37	16.9979	23	82
Sunday	January	11	18	1	0	0	1	8.2	10.605	40	11.0014	11	56
Sunday	January	11	19	1	0	0	1	7.38	9.85	47	8.9981	14	47
Sunday	January	11	20	1	0	0	1	7.38	9.85	47	11.0014	7	50
Sunday	January	11	21	1	0	0	1	7.38	9.85	51	11.0014	6	22
Sunday	January	11	22	1	0	0	2	8.2	10.605	49	8.9981	2	19
